Date,Name,Year,Letterboxd URI
2024-01-27,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO
2024-01-27,The Wolf of Wall Street,2013,https://boxd.it/3C1m
2024-01-27,Dune,2021,https://boxd.it/fA7G
2024-01-27,Taxi Driver,1976,https://boxd.it/2b8y
2024-02-13,Exotica,1994,https://boxd.it/1DXW
2024-03-10,Dune: Part Two,2024,https://boxd.it/pUfA
2024-04-13,The Mother of the Kings,1987,https://boxd.it/7eAg
2024-06-11,Skate Kitchen,2018,https://boxd.it/hI3Q
2024-09-07,Annette,2021,https://boxd.it/f0RS
2024-09-07,Parallel Mothers,2021,https://boxd.it/sOP4
2024-09-07,The Scent of Green Papaya,1993,https://boxd.it/1EWq
2024-09-07,The Summer with Carmen,2023,https://boxd.it/HMbc
2024-11-06,Imago,2023,https://boxd.it/H2QS
2024-11-06,Scrapper,2023,https://boxd.it/zht4
2024-11-13,Jackie,2016,https://boxd.it/d6bu
2024-11-13,The Brutalist,2024,https://boxd.it/k4BO
2024-11-13,We Live in Time,2024,https://boxd.it/FC5u
2024-11-13,Punch-Drunk Love,2002,https://boxd.it/20E4
2024-11-20,Monument,2018,https://boxd.it/jIKO
2024-11-20,Tower. A Bright Day.,2017,https://boxd.it/hdX4
2025-01-14,Paradise: Love,2012,https://boxd.it/3wTW
2025-01-28,The Ascent,1977,https://boxd.it/Eew
2025-02-03,Singles,1992,https://boxd.it/1UIu
2025-02-16,Mystic Pizza,1988,https://boxd.it/1UpC
2025-02-17,A Bigger Splash,2015,https://boxd.it/azgs
2025-02-17,I Am Love,2009,https://boxd.it/10ac
2025-02-24,The Third Part of the Night,1971,https://boxd.it/Miw
2025-02-26,Twin Peaks: The Return,2017,https://boxd.it/hN9O
2025-03-01,Anora,2024,https://boxd.it/Egcw
2025-03-01,The Florida Project,2017,https://boxd.it/dMG0
2025-03-07,The Seed of the Sacred Fig,2024,https://boxd.it/MKo4
2025-03-22,Three Colours: Blue,1993,https://boxd.it/2b7K
2025-03-22,My Night at Maud's,1969,https://boxd.it/Hwo
2025-03-25,First Cow,2019,https://boxd.it/krga
2025-03-25,Humpday,2009,https://boxd.it/1ySC
2025-03-25,Saint Frances,2019,https://boxd.it/l9w2
2025-03-25,Parthenope,2024,https://boxd.it/FWo2
2025-03-26,Revenge,2017,https://boxd.it/gL9g
2025-03-26,Bird Talk,2019,https://boxd.it/mSp8
2025-03-27,I Am Cuba,1964,https://boxd.it/1hUQ
2025-03-29,Under the Skin,2013,https://boxd.it/3mDa
2025-03-29,A Woman's Decision,1975,https://boxd.it/7Ggy
2025-04-02,All These Sons,2021,https://boxd.it/uZ1o
2025-04-02,Baby Invasion,2024,https://boxd.it/M6VC
2025-04-02,Reality,2014,https://boxd.it/5txC
2025-04-02,Dogville,2003,https://boxd.it/2a8W
2025-04-02,Melancholia,2011,https://boxd.it/bPI
2025-04-02,The House That Jack Built,2018,https://boxd.it/dWO4
2025-04-02,We Need to Talk About Kevin,2011,https://boxd.it/2pTS
2025-04-05,Regular Lovers,2005,https://boxd.it/QhM
2025-04-06,Manchester by the Sea,2016,https://boxd.it/b2L0
2025-04-06,Pauline at the Beach,1983,https://boxd.it/1WC4
2025-04-06,The Green Ray,1986,https://boxd.it/t8W
2025-04-07,Heat,1995,https://boxd.it/2bg8
2025-04-07,Thief,1981,https://boxd.it/1TEc
2025-04-07,Paddington 2,2017,https://boxd.it/bCF8
2025-04-07,An Unfinished Film,2024,https://boxd.it/x9Ai
2025-04-08,"Girl, Interrupted",1999,https://boxd.it/25ds
2025-04-12,Van Gogh,1991,https://boxd.it/23Tc
2025-04-12,Every Man for Himself,1980,https://boxd.it/3NuY
2025-04-12,She Kept Asking for the Moon,1983,https://boxd.it/aGSI
2025-04-12,If I Had a Gun,1971,https://boxd.it/3rCw
2025-04-13,Twin Peaks: Fire Walk with Me,1992,https://boxd.it/27Qw
2025-04-13,Pat Garrett & Billy the Kid,1973,https://boxd.it/1TvE
2025-04-14,El Topo,1970,https://boxd.it/1QYS
2025-04-14,Holy Motors,2012,https://boxd.it/3wai
2025-04-15,Night Train,1959,https://boxd.it/14VG
2025-04-15,Blind Chance,1987,https://boxd.it/2b4G
2025-04-15,I Do Not Care If We Go Down in History as Barbarians,2018,https://boxd.it/i4Ui
2025-04-15,The Girl with the Dragon Tattoo,2009,https://boxd.it/1Mb8
2025-04-15,Valley of the Boom,2019,https://boxd.it/mpGY
2025-04-15,WarGames,1983,https://boxd.it/29qU
2025-04-17,The Lovers on the Bridge,1991,https://boxd.it/26li
2025-04-17,Mauvais Sang,1986,https://boxd.it/5c6
2025-04-17,Mister Lonely,2007,https://boxd.it/1KKg
2025-04-17,Warfare,2025,https://boxd.it/LbRo
2025-04-17,21 Grams,2003,https://boxd.it/2ajK
2025-04-18,Johnny Guitar,1954,https://boxd.it/1tyW
2025-04-18,The Zone of Interest,2023,https://boxd.it/gJsA
2025-04-18,High and Low,1963,https://boxd.it/1RSc
2025-04-18,Paper Moon,1973,https://boxd.it/1Ud2
2025-04-18,Targets,1968,https://boxd.it/1Fbq
2025-04-18,Ashes and Diamonds,1958,https://boxd.it/23q0
2025-04-18,Kanal,1957,https://boxd.it/1mky
2025-04-18,"Institute Benjamenta, or This Dream People Call Human Life",1995,https://boxd.it/11fW
2025-04-18,Eddington,2025,https://boxd.it/o6MC
2025-04-20,Black Mirror: Eulogy,2025,https://boxd.it/U1Ww
2025-04-22,The Age of Innocence,1993,https://boxd.it/1WgM
2025-04-22,The Tree of Life,2011,https://boxd.it/1Zu8
2025-04-22,A Hidden Life,2019,https://boxd.it/eb1Q
2025-04-22,Pi,1998,https://boxd.it/2ajq
2025-04-22,Werewolf,2018,https://boxd.it/i4Lq
2025-04-22,Simona Kossak,2024,https://boxd.it/JriA
2025-04-23,Friendship,2024,https://boxd.it/L6Dc
2025-04-25,3 Women,1977,https://boxd.it/YPs
2025-04-26,Don't Look Now,1973,https://boxd.it/29fC
2025-04-28,The Last Dive,1992,https://boxd.it/2Vbo
2025-04-29,Mirror,1975,https://boxd.it/28Q8
2025-04-29,I'm Thinking of Ending Things,2020,https://boxd.it/i4IQ
2025-04-29,Anomalisa,2015,https://boxd.it/97TE
2025-04-29,Maps to the Stars,2014,https://boxd.it/4WCu
2025-04-30,We All Loved Each Other So Much,1974,https://boxd.it/XjK
2025-04-30,Explanation for Everything,2023,https://boxd.it/EHhS
2025-04-30,The Mastermind,2025,https://boxd.it/Q7ge
2025-04-30,Frankie and Johnny,1991,https://boxd.it/250S
2025-04-30,Something Wild,1986,https://boxd.it/1UbU
2025-04-30,Moonstruck,1987,https://boxd.it/27zg
2025-05-01,Devs,2020,https://boxd.it/ppHI
